,State,Data Element,Date,Value,Frequency,Region,Description
75,Georgia,Consumer Price Index,2019-09-01,1.7,Monthly,South Atlantic,Consumer Price Index
76,Maryland,Consumer Price Index,2019-09-01,1.7,Monthly,South Atlantic,Consumer Price Index
77,North Carolina,Consumer Price Index,2019-09-01,1.7,Monthly,South Atlantic,Consumer Price Index
78,South Carolina,Consumer Price Index,2019-09-01,1.7,Monthly,South Atlantic,Consumer Price Index
79,Virginia,Consumer Price Index,2019-09-01,1.7,Monthly,South Atlantic,Consumer Price Index
80,West Virginia,Consumer Price Index,2019-09-01,1.7,Monthly,South Atlantic,Consumer Price Index
81,District of Columbia,Consumer Price Index,2019-10-01,1.8,Monthly,South Atlantic,Consumer Price Index
82,Delaware,Consumer Price Index,2019-10-01,1.8,Monthly,South Atlantic,Consumer Price Index
83,Florida,Consumer Price Index,2019-10-01,1.8,Monthly,South Atlantic,Consumer Price Index
84,Georgia,Consumer Price Index,2019-10-01,1.8,Monthly,South Atlantic,Consumer Price Index
85,Maryland,Consumer Price Index,2019-10-01,1.8,Monthly,South Atlantic,Consumer Price Index
86,North Carolina,Consumer Price Index,2019-10-01,1.8,Monthly,South Atlantic,Consumer Price Index
87,South Carolina,Consumer Price Index,2019-10-01,1.8,Monthly,South Atlantic,Consumer Price Index
88,Virginia,Consumer Price Index,2019-10-01,1.8,Monthly,South Atlantic,Consumer Price Index
89,West Virginia,Consumer Price Index,2019-10-01,1.8,Monthly,South Atlantic,Consumer Price Index
90,District of Columbia,Consumer Price Index,2019-11-01,2.0,Monthly,South Atlantic,Consumer Price Index
91,Delaware,Consumer Price Index,2019-11-01,2.0,Monthly,South Atlantic,Consumer Price Index
92,Florida,Consumer Price Index,2019-11-01,2.0,Monthly,South Atlantic,Consumer Price Index
93,Georgia,Consumer Price Index,2019-11-01,2.0,Monthly,South Atlantic,Consumer Price Index
94,Maryland,Consumer Price Index,2019-11-01,2.0,Monthly,South Atlantic,Consumer Price Index
95,North Carolina,Consumer Price Index,2019-11-01,2.0,Monthly,South Atlantic,Consumer Price Index
96,South Carolina,Consumer Price Index,2019-11-01,2.0,Monthly,South Atlantic,Consumer Price Index
97,Virginia,Consumer Price Index,2019-11-01,2.0,Monthly,South Atlantic,Consumer Price Index
98,West Virginia,Consumer Price Index,2019-11-01,2.0,Monthly,South Atlantic,Consumer Price Index
99,District of Columbia,Consumer Price Index,2019-12-01,2.5,Monthly,South Atlantic,Consumer Price Index
100,Delaware,Consumer Price Index,2019-12-01,2.5,Monthly,South Atlantic,Consumer Price Index
101,Florida,Consumer Price Index,2019-12-01,2.5,Monthly,South Atlantic,Consumer Price Index
102,Georgia,Consumer Price Index,2019-12-01,2.5,Monthly,South Atlantic,Consumer Price Index
103,Maryland,Consumer Price Index,2019-12-01,2.5,Monthly,South Atlantic,Consumer Price Index
104,North Carolina,Consumer Price Index,2019-12-01,2.5,Monthly,South Atlantic,Consumer Price Index
105,South Carolina,Consumer Price Index,2019-12-01,2.5,Monthly,South Atlantic,Consumer Price Index
106,Virginia,Consumer Price Index,2019-12-01,2.5,Monthly,South Atlantic,Consumer Price Index
107,West Virginia,Consumer Price Index,2019-12-01,2.5,Monthly,South Atlantic,Consumer Price Index
108,District of Columbia,Consumer Price Index,2020-01-01,2.6,Monthly,South Atlantic,Consumer Price Index
109,Delaware,Consumer Price Index,2020-01-01,2.6,Monthly,South Atlantic,Consumer Price Index
110,Florida,Consumer Price Index,2020-01-01,2.6,Monthly,South Atlantic,Consumer Price Index
111,Georgia,Consumer Price Index,2020-01-01,2.6,Monthly,South Atlantic,Consumer Price Index
112,Maryland,Consumer Price Index,2020-01-01,2.6,Monthly,South Atlantic,Consumer Price Index
113,North Carolina,Consumer Price Index,2020-01-01,2.6,Monthly,South Atlantic,Consumer Price Index
114,South Carolina,Consumer Price Index,2020-01-01,2.6,Monthly,South Atlantic,Consumer Price Index
115,Virginia,Consumer Price Index,2020-01-01,2.6,Monthly,South Atlantic,Consumer Price Index
116,West Virginia,Consumer Price Index,2020-01-01,2.6,Monthly,South Atlantic,Consumer Price Index
117,District of Columbia,Consumer Price Index,2020-02-01,2.2,Monthly,South Atlantic,Consumer Price Index
118,Delaware,Consumer Price Index,2020-02-01,2.2,Monthly,South Atlantic,Consumer Price Index
119,Florida,Consumer Price Index,2020-02-01,2.2,Monthly,South Atlantic,Consumer Price Index
120,Georgia,Consumer Price Index,2020-02-01,2.2,Monthly,South Atlantic,Consumer Price Index
121,Maryland,Consumer Price Index,2020-02-01,2.2,Monthly,South Atlantic,Consumer Price Index
122,North Carolina,Consumer Price Index,2020-02-01,2.2,Monthly,South Atlantic,Consumer Price Index
123,South Carolina,Consumer Price Index,2020-02-01,2.2,Monthly,South Atlantic,Consumer Price Index
124,Virginia,Consumer Price Index,2020-02-01,2.2,Monthly,South Atlantic,Consumer Price Index
125,West Virginia,Consumer Price Index,2020-02-01,2.2,Monthly,South Atlantic,Consumer Price Index
126,District of Columbia,Consumer Price Index,2020-03-01,1.3,Monthly,South Atlantic,Consumer Price Index
127,Delaware,Consumer Price Index,2020-03-01,1.3,Monthly,South Atlantic,Consumer Price Index
128,Florida,Consumer Price Index,2020-03-01,1.3,Monthly,South Atlantic,Consumer Price Index
129,Georgia,Consumer Price Index,2020-03-01,1.3,Monthly,South Atlantic,Consumer Price Index
130,Maryland,Consumer Price Index,2020-03-01,1.3,Monthly,South Atlantic,Consumer Price Index
131,North Carolina,Consumer Price Index,2020-03-01,1.3,Monthly,South Atlantic,Consumer Price Index
132,South Carolina,Consumer Price Index,2020-03-01,1.3,Monthly,South Atlantic,Consumer Price Index
133,Virginia,Consumer Price Index,2020-03-01,1.3,Monthly,South Atlantic,Consumer Price Index
134,West Virginia,Consumer Price Index,2020-03-01,1.3,Monthly,South Atlantic,Consumer Price Index
135,District of Columbia,Consumer Price Index,2020-04-01,0.2,Monthly,South Atlantic,Consumer Price Index
136,Delaware,Consumer Price Index,2020-04-01,0.2,Monthly,South Atlantic,Consumer Price Index
137,Florida,Consumer Price Index,2020-04-01,0.2,Monthly,South Atlantic,Consumer Price Index
138,Georgia,Consumer Price Index,2020-04-01,0.2,Monthly,South Atlantic,Consumer Price Index
139,Maryland,Consumer Price Index,2020-04-01,0.2,Monthly,South Atlantic,Consumer Price Index
140,North Carolina,Consumer Price Index,2020-04-01,0.2,Monthly,South Atlantic,Consumer Price Index
141,South Carolina,Consumer Price Index,2020-04-01,0.2,Monthly,South Atlantic,Consumer Price Index
142,Virginia,Consumer Price Index,2020-04-01,0.2,Monthly,South Atlantic,Consumer Price Index
143,West Virginia,Consumer Price Index,2020-04-01,0.2,Monthly,South Atlantic,Consumer Price Index
144,District of Columbia,Consumer Price Index,2020-05-01,0.0,Monthly,South Atlantic,Consumer Price Index
145,Delaware,Consumer Price Index,2020-05-01,0.0,Monthly,South Atlantic,Consumer Price Index
146,Florida,Consumer Price Index,2020-05-01,0.0,Monthly,South Atlantic,Consumer Price Index
147,Georgia,Consumer Price Index,2020-05-01,0.0,Monthly,South Atlantic,Consumer Price Index
148,Maryland,Consumer Price Index,2020-05-01,0.0,Monthly,South Atlantic,Consumer Price Index
149,North Carolina,Consumer Price Index,2020-05-01,0.0,Monthly,South Atlantic,Consumer Price Index
150,South Carolina,Consumer Price Index,2020-05-01,0.0,Monthly,South Atlantic,Consumer Price Index
151,Virginia,Consumer Price Index,2020-05-01,0.0,Monthly,South Atlantic,Consumer Price Index
152,West Virginia,Consumer Price Index,2020-05-01,0.0,Monthly,South Atlantic,Consumer Price Index
153,District of Columbia,Consumer Price Index,2020-06-01,0.8,Monthly,South Atlantic,Consumer Price Index
154,Delaware,Consumer Price Index,2020-06-01,0.8,Monthly,South Atlantic,Consumer Price Index
155,Florida,Consumer Price Index,2020-06-01,0.8,Monthly,South Atlantic,Consumer Price Index
156,Georgia,Consumer Price Index,2020-06-01,0.8,Monthly,South Atlantic,Consumer Price Index
157,Maryland,Consumer Price Index,2020-06-01,0.8,Monthly,South Atlantic,Consumer Price Index
158,North Carolina,Consumer Price Index,2020-06-01,0.8,Monthly,South Atlantic,Consumer Price Index
159,South Carolina,Consumer Price Index,2020-06-01,0.8,Monthly,South Atlantic,Consumer Price Index
160,Virginia,Consumer Price Index,2020-06-01,0.8,Monthly,South Atlantic,Consumer Price Index
161,West Virginia,Consumer Price Index,2020-06-01,0.8,Monthly,South Atlantic,Consumer Price Index
162,District of Columbia,Consumer Price Index,2020-07-01,0.9,Monthly,South Atlantic,Consumer Price Index
163,Delaware,Consumer Price Index,2020-07-01,0.9,Monthly,South Atlantic,Consumer Price Index
164,Florida,Consumer Price Index,2020-07-01,0.9,Monthly,South Atlantic,Consumer Price Index
165,Georgia,Consumer Price Index,2020-07-01,0.9,Monthly,South Atlantic,Consumer Price Index
166,Maryland,Consumer Price Index,2020-07-01,0.9,Monthly,South Atlantic,Consumer Price Index
167,North Carolina,Consumer Price Index,2020-07-01,0.9,Monthly,South Atlantic,Consumer Price Index
168,South Carolina,Consumer Price Index,2020-07-01,0.9,Monthly,South Atlantic,Consumer Price Index
169,Virginia,Consumer Price Index,2020-07-01,0.9,Monthly,South Atlantic,Consumer Price Index
170,West Virginia,Consumer Price Index,2020-07-01,0.9,Monthly,South Atlantic,Consumer Price Index
171,District of Columbia,Consumer Price Index,2020-08-01,1.5,Monthly,South Atlantic,Consumer Price Index
172,Delaware,Consumer Price Index,2020-08-01,1.5,Monthly,South Atlantic,Consumer Price Index
173,Florida,Consumer Price Index,2020-08-01,1.5,Monthly,South Atlantic,Consumer Price Index
174,Georgia,Consumer Price Index,2020-08-01,1.5,Monthly,South Atlantic,Consumer Price Index
175,Maryland,Consumer Price Index,2020-08-01,1.5,Monthly,South Atlantic,Consumer Price Index
176,North Carolina,Consumer Price Index,2020-08-01,1.5,Monthly,South Atlantic,Consumer Price Index
177,South Carolina,Consumer Price Index,2020-08-01,1.5,Monthly,South Atlantic,Consumer Price Index
178,Virginia,Consumer Price Index,2020-08-01,1.5,Monthly,South Atlantic,Consumer Price Index
179,West Virginia,Consumer Price Index,2020-08-01,1.5,Monthly,South Atlantic,Consumer Price Index
180,District of Columbia,Consumer Price Index,2020-09-01,1.8,Monthly,South Atlantic,Consumer Price Index
181,Delaware,Consumer Price Index,2020-09-01,1.8,Monthly,South Atlantic,Consumer Price Index
182,Florida,Consumer Price Index,2020-09-01,1.8,Monthly,South Atlantic,Consumer Price Index
183,Georgia,Consumer Price Index,2020-09-01,1.8,Monthly,South Atlantic,Consumer Price Index
184,Maryland,Consumer Price Index,2020-09-01,1.8,Monthly,South Atlantic,Consumer Price Index
185,North Carolina,Consumer Price Index,2020-09-01,1.8,Monthly,South Atlantic,Consumer Price Index
186,South Carolina,Consumer Price Index,2020-09-01,1.8,Monthly,South Atlantic,Consumer Price Index
187,Virginia,Consumer Price Index,2020-09-01,1.8,Monthly,South Atlantic,Consumer Price Index
188,West Virginia,Consumer Price Index,2020-09-01,1.8,Monthly,South Atlantic,Consumer Price Index
189,District of Columbia,Consumer Price Index,2020-10-01,1.7,Monthly,South Atlantic,Consumer Price Index
190,Delaware,Consumer Price Index,2020-10-01,1.7,Monthly,South Atlantic,Consumer Price Index
191,Florida,Consumer Price Index,2020-10-01,1.7,Monthly,South Atlantic,Consumer Price Index
192,Georgia,Consumer Price Index,2020-10-01,1.7,Monthly,South Atlantic,Consumer Price Index
193,Maryland,Consumer Price Index,2020-10-01,1.7,Monthly,South Atlantic,Consumer Price Index
194,North Carolina,Consumer Price Index,2020-10-01,1.7,Monthly,South Atlantic,Consumer Price Index
195,South Carolina,Consumer Price Index,2020-10-01,1.7,Monthly,South Atlantic,Consumer Price Index
196,Virginia,Consumer Price Index,2020-10-01,1.7,Monthly,South Atlantic,Consumer Price Index
197,West Virginia,Consumer Price Index,2020-10-01,1.7,Monthly,South Atlantic,Consumer Price Index
198,District of Columbia,Consumer Price Index,2020-11-01,1.6,Monthly,South Atlantic,Consumer Price Index
199,Delaware,Consumer Price Index,2020-11-01,1.6,Monthly,South Atlantic,Consumer Price Index
200,Florida,Consumer Price Index,2020-11-01,1.6,Monthly,South Atlantic,Consumer Price Index
201,Georgia,Consumer Price Index,2020-11-01,1.6,Monthly,South Atlantic,Consumer Price Index
202,Maryland,Consumer Price Index,2020-11-01,1.6,Monthly,South Atlantic,Consumer Price Index
203,North Carolina,Consumer Price Index,2020-11-01,1.6,Monthly,South Atlantic,Consumer Price Index
204,South Carolina,Consumer Price Index,2020-11-01,1.6,Monthly,South Atlantic,Consumer Price Index
205,Virginia,Consumer Price Index,2020-11-01,1.6,Monthly,South Atlantic,Consumer Price Index
206,West Virginia,Consumer Price Index,2020-11-01,1.6,Monthly,South Atlantic,Consumer Price Index
207,District of Columbia,Consumer Price Index,2020-12-01,1.6,Monthly,South Atlantic,Consumer Price Index
208,Delaware,Consumer Price Index,2020-12-01,1.6,Monthly,South Atlantic,Consumer Price Index
209,Florida,Consumer Price Index,2020-12-01,1.6,Monthly,South Atlantic,Consumer Price Index
210,Georgia,Consumer Price Index,2020-12-01,1.6,Monthly,South Atlantic,Consumer Price Index
211,Maryland,Consumer Price Index,2020-12-01,1.6,Monthly,South Atlantic,Consumer Price Index
212,North Carolina,Consumer Price Index,2020-12-01,1.6,Monthly,South Atlantic,Consumer Price Index
213,South Carolina,Consumer Price Index,2020-12-01,1.6,Monthly,South Atlantic,Consumer Price Index
214,Virginia,Consumer Price Index,2020-12-01,1.6,Monthly,South Atlantic,Consumer Price Index
215,West Virginia,Consumer Price Index,2020-12-01,1.6,Monthly,South Atlantic,Consumer Price Index
216,District of Columbia,Consumer Price Index,2021-01-01,1.8,Monthly,South Atlantic,Consumer Price Index
217,Delaware,Consumer Price Index,2021-01-01,1.8,Monthly,South Atlantic,Consumer Price Index
218,Florida,Consumer Price Index,2021-01-01,1.8,Monthly,South Atlantic,Consumer Price Index
219,Georgia,Consumer Price Index,2021-01-01,1.8,Monthly,South Atlantic,Consumer Price Index
220,Maryland,Consumer Price Index,2021-01-01,1.8,Monthly,South Atlantic,Consumer Price Index
221,North Carolina,Consumer Price Index,2021-01-01,1.8,Monthly,South Atlantic,Consumer Price Index
222,South Carolina,Consumer Price Index,2021-01-01,1.8,Monthly,South Atlantic,Consumer Price Index
223,Virginia,Consumer Price Index,2021-01-01,1.8,Monthly,South Atlantic,Consumer Price Index
224,West Virginia,Consumer Price Index,2021-01-01,1.8,Monthly,South Atlantic,Consumer Price Index
225,District of Columbia,Consumer Price Index,2021-02-01,2.1,Monthly,South Atlantic,Consumer Price Index
226,Delaware,Consumer Price Index,2021-02-01,2.1,Monthly,South Atlantic,Consumer Price Index
227,Florida,Consumer Price Index,2021-02-01,2.1,Monthly,South Atlantic,Consumer Price Index
228,Georgia,Consumer Price Index,2021-02-01,2.1,Monthly,South Atlantic,Consumer Price Index
229,Maryland,Consumer Price Index,2021-02-01,2.1,Monthly,South Atlantic,Consumer Price Index
230,North Carolina,Consumer Price Index,2021-02-01,2.1,Monthly,South Atlantic,Consumer Price Index
231,South Carolina,Consumer Price Index,2021-02-01,2.1,Monthly,South Atlantic,Consumer Price Index
232,Virginia,Consumer Price Index,2021-02-01,2.1,Monthly,South Atlantic,Consumer Price Index
233,West Virginia,Consumer Price Index,2021-02-01,2.1,Monthly,South Atlantic,Consumer Price Index
234,District of Columbia,Consumer Price Index,2021-03-01,2.9,Monthly,South Atlantic,Consumer Price Index
235,Delaware,Consumer Price Index,2021-03-01,2.9,Monthly,South Atlantic,Consumer Price Index
236,Florida,Consumer Price Index,2021-03-01,2.9,Monthly,South Atlantic,Consumer Price Index
237,Georgia,Consumer Price Index,2021-03-01,2.9,Monthly,South Atlantic,Consumer Price Index
238,Maryland,Consumer Price Index,2021-03-01,2.9,Monthly,South Atlantic,Consumer Price Index
239,North Carolina,Consumer Price Index,2021-03-01,2.9,Monthly,South Atlantic,Consumer Price Index
240,South Carolina,Consumer Price Index,2021-03-01,2.9,Monthly,South Atlantic,Consumer Price Index
241,Virginia,Consumer Price Index,2021-03-01,2.9,Monthly,South Atlantic,Consumer Price Index
242,West Virginia,Consumer Price Index,2021-03-01,2.9,Monthly,South Atlantic,Consumer Price Index
243,District of Columbia,Consumer Price Index,2021-04-01,4.2,Monthly,South Atlantic,Consumer Price Index
244,Delaware,Consumer Price Index,2021-04-01,4.2,Monthly,South Atlantic,Consumer Price Index
245,Florida,Consumer Price Index,2021-04-01,4.2,Monthly,South Atlantic,Consumer Price Index
246,Georgia,Consumer Price Index,2021-04-01,4.2,Monthly,South Atlantic,Consumer Price Index
247,Maryland,Consumer Price Index,2021-04-01,4.2,Monthly,South Atlantic,Consumer Price Index
248,North Carolina,Consumer Price Index,2021-04-01,4.2,Monthly,South Atlantic,Consumer Price Index
249,South Carolina,Consumer Price Index,2021-04-01,4.2,Monthly,South Atlantic,Consumer Price Index
250,Virginia,Consumer Price Index,2021-04-01,4.2,Monthly,South Atlantic,Consumer Price Index
251,West Virginia,Consumer Price Index,2021-04-01,4.2,Monthly,South Atlantic,Consumer Price Index
252,District of Columbia,Consumer Price Index,2021-05-01,5.2,Monthly,South Atlantic,Consumer Price Index
253,Delaware,Consumer Price Index,2021-05-01,5.2,Monthly,South Atlantic,Consumer Price Index
254,Florida,Consumer Price Index,2021-05-01,5.2,Monthly,South Atlantic,Consumer Price Index
255,Georgia,Consumer Price Index,2021-05-01,5.2,Monthly,South Atlantic,Consumer Price Index
256,Maryland,Consumer Price Index,2021-05-01,5.2,Monthly,South Atlantic,Consumer Price Index
257,North Carolina,Consumer Price Index,2021-05-01,5.2,Monthly,South Atlantic,Consumer Price Index
258,South Carolina,Consumer Price Index,2021-05-01,5.2,Monthly,South Atlantic,Consumer Price Index
259,Virginia,Consumer Price Index,2021-05-01,5.2,Monthly,South Atlantic,Consumer Price Index
260,West Virginia,Consumer Price Index,2021-05-01,5.2,Monthly,South Atlantic,Consumer Price Index
261,District of Columbia,Consumer Price Index,2021-06-01,5.6,Monthly,South Atlantic,Consumer Price Index
262,Delaware,Consumer Price Index,2021-06-01,5.6,Monthly,South Atlantic,Consumer Price Index
263,Florida,Consumer Price Index,2021-06-01,5.6,Monthly,South Atlantic,Consumer Price Index
264,Georgia,Consumer Price Index,2021-06-01,5.6,Monthly,South Atlantic,Consumer Price Index
265,Maryland,Consumer Price Index,2021-06-01,5.6,Monthly,South Atlantic,Consumer Price Index
266,North Carolina,Consumer Price Index,2021-06-01,5.6,Monthly,South Atlantic,Consumer Price Index
267,South Carolina,Consumer Price Index,2021-06-01,5.6,Monthly,South Atlantic,Consumer Price Index
268,Virginia,Consumer Price Index,2021-06-01,5.6,Monthly,South Atlantic,Consumer Price Index
269,West Virginia,Consumer Price Index,2021-06-01,5.6,Monthly,South Atlantic,Consumer Price Index
270,District of Columbia,Consumer Price Index,2021-07-01,5.6,Monthly,South Atlantic,Consumer Price Index
271,Delaware,Consumer Price Index,2021-07-01,5.6,Monthly,South Atlantic,Consumer Price Index
272,Florida,Consumer Price Index,2021-07-01,5.6,Monthly,South Atlantic,Consumer Price Index
273,Georgia,Consumer Price Index,2021-07-01,5.6,Monthly,South Atlantic,Consumer Price Index
274,Maryland,Consumer Price Index,2021-07-01,5.6,Monthly,South Atlantic,Consumer Price Index
275,North Carolina,Consumer Price Index,2021-07-01,5.6,Monthly,South Atlantic,Consumer Price Index
276,South Carolina,Consumer Price Index,2021-07-01,5.6,Monthly,South Atlantic,Consumer Price Index
277,Virginia,Consumer Price Index,2021-07-01,5.6,Monthly,South Atlantic,Consumer Price Index
278,West Virginia,Consumer Price Index,2021-07-01,5.6,Monthly,South Atlantic,Consumer Price Index
279,District of Columbia,Consumer Price Index,2021-08-01,5.4,Monthly,South Atlantic,Consumer Price Index
280,Delaware,Consumer Price Index,2021-08-01,5.4,Monthly,South Atlantic,Consumer Price Index
281,Florida,Consumer Price Index,2021-08-01,5.4,Monthly,South Atlantic,Consumer Price Index
282,Georgia,Consumer Price Index,2021-08-01,5.4,Monthly,South Atlantic,Consumer Price Index
283,Maryland,Consumer Price Index,2021-08-01,5.4,Monthly,South Atlantic,Consumer Price Index
284,North Carolina,Consumer Price Index,2021-08-01,5.4,Monthly,South Atlantic,Consumer Price Index
285,South Carolina,Consumer Price Index,2021-08-01,5.4,Monthly,South Atlantic,Consumer Price Index
286,Virginia,Consumer Price Index,2021-08-01,5.4,Monthly,South Atlantic,Consumer Price Index
